번호,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
1249,한빛약국,0900,2100,,,,,37.6324854,127.06094479999999,노원구
1250,중계약국,0900,1400,,,,,37.6497561,127.0819708,노원구
1251,경화당약국,0830,1600,,,,,37.6152064,127.06515379999999,노원구
1252,남북약국,0900,2100,,,,,37.659204100000004,127.07020800000001,노원구
1253,하계약국,0900,2100,,,,,37.6358789,127.07293700000001,노원구
1254,신도약국,0900,1900,,,,,37.6644871,127.0739187,노원구
1255,창덕약국,,,,,,,37.62294970000001,127.0753054,노원구
1256,신태평약국,0900,1700,,,,,37.6214621,127.05901159999999,노원구
1257,나현약국,1000,2300,1000,2300,1000,2230,37.6563873,127.06961409999998,노원구
1258,월계약국,0900,2100,,,,,37.626735700000005,127.05112040000002,노원구
1259,세브란스약국,0900,1700,,,,,37.6354318,127.0644563,노원구
1260,백조약국,0900,2200,1100,1930,,,37.62715120000001,127.0791017,노원구
1261,벽산약국,1000,2100,,,,,37.661272600000004,127.0726949,노원구
1262,새고운약국,0900,1900,1000,2000,,,37.619670899999996,127.074629,노원구
1263,옵티마건강약국,0900,1900,,,,,37.6406859,127.0681273,노원구
1264,푸른약국,0900,1600,,,,,37.6510283,127.07722720000001,노원구
1265,노원행복한약국,,,,,,,37.656501,127.0619072,노원구
1266,새봄약국,0830,1600,0830,1600,,,37.6393876,127.0642707,노원구
1267,좋은약국,0900,1600,,,,,37.6543814,127.0636656,노원구
1268,i튼튼약국,0900,1700,0900,1700,,,37.6244964,127.0729685,노원구
1269,상계동문약국,0900,1400,,,,,37.649364299999995,127.06228370000001,노원구
1270,노원프라자약국,,,,,,,37.648668799999996,127.06184820000001,노원구
1271,딸기약국,,,,,,,37.625651700000006,127.087321,노원구
1272,종로프라자약국,0900,1500,,,1200,2100,37.649382700000004,127.06154120000001,노원구
1273,행복약국,0830,1500,,,,,37.6180201,127.0751875,노원구
1274,행복을주는약국,0900,1600,,,,,37.6225799,127.07434599999999,노원구
1275,국약국,,,,,,,37.6590511,127.0728631,노원구
1276,상계우리들약국,,,,,,,37.6616707,127.0706215,노원구
1277,한마음온누리약국,0830,1900,,,,,37.634779200000004,127.06956299999999,노원구
1278,화랑온누리약국,,,,,,,37.6233344,127.0795612,노원구
1279,푸른솔약국,0900,1300,,,,,37.636223799999996,127.0727956,노원구
1280,중계수암약국,0900,1400,,,,,37.622599,127.0595456,노원구
1281,다나약국,,,,,,,37.6229119,127.06116159999999,노원구
1282,무지개온누리약국,0830,1800,,,,,37.6149164,127.06403829999999,노원구
1283,고려약국,0900,2030,,,,,37.6562713,127.06240690000001,노원구
1284,목원약국,0830,2200,,,0900,2000,37.67141289999999,127.0799686,노원구
1285,바른손약국,0800,2200,,,,,37.634779200000004,127.06956299999999,노원구
1286,다정온누리약국,0900,1600,,,,,37.6233407,127.08304340000001,노원구
1287,길약국,0900,1400,,,,,37.670193,127.07974109999998,노원구
1288,장수메디컬약국,0830,1900,,,,,37.6260131,127.07242169999999,노원구
1289,동보진약국,,,,,,,37.653461,127.05840740000001,노원구
1290,미소약국,,,,,,,37.65694620000001,127.0675943,노원구
1291,봄약국,0900,1700,0900,1400,,,37.6530156,127.0613085,노원구
1292,동덕약국,0930,2100,,,,,37.656415,127.0645739,노원구
1293,뉴크로바약국,0900,1800,,,,,37.687106400000005,127.0529209,노원구
1294,열린온누리약국,0900,2200,1000,2200,0900,2200,37.6252771,127.07968899999999,노원구
1295,우성약국,0900,2200,,,,,37.6641776,127.0664226,노원구
1296,수성약국,0930,2200,1000,2000,,,37.6589601,127.06147849999999,노원구
1297,성심온누리약국,0900,2200,,,,,37.618472600000004,127.0626469,노원구
1298,유성약국,0900,2100,,,,,37.6465989,127.0595501,노원구
1299,하님약국,0900,2200,,,0900,2130,37.6611031,127.0708473,노원구
1300,마들소망약국,0900,1500,,,,,37.6503706,127.07631409999998,노원구
1301,혜인약국,0900,2100,,,,,37.663022,127.06613670000002,노원구
1302,장생약국,0900,2200,,,1100,2100,37.6387354,127.0624762,노원구
1303,자인당약국,0900,2230,,,0900,2200,37.654800099999996,127.06420320000001,노원구
1304,우약국,0900,1900,,,,,37.6354318,127.0644563,노원구
1305,바른손약국,0800,2200,,,,,37.6566575,127.0625433,노원구
1306,마들소망약국,0900,1500,,,,,37.665027,127.05800740000001,노원구
1307,시온약국,0900,1600,,,,,37.664031,127.0669209,노원구
1308,the사랑약국,,,,,,,37.6542324,127.0617,노원구
1309,장약국,0900,1600,,,,,37.6542729,127.062154,노원구
1310,화랑대약국,0930,1800,0930,1800,0930,1800,37.6207817,127.08360719999999,노원구
1311,신동아약국,1000,2230,1000,2230,1000,2230,37.62644,127.06190910000001,노원구
1312,재민약국,0900,1300,,,,,37.6231186,127.0790416,노원구
1313,21세기상계약국,0800,2100,,,,,37.666624,127.05760520000001,노원구
1314,다사랑약국,0900,1700,,,,,37.6503505,127.07708829999999,노원구
1315,미래팜약국,0900,1700,,,,,37.6543031,127.06266240000001,노원구
1316,복음약국,0900,1700,,,,,37.6176466,127.0685939,노원구
